,time,value
0,2016-01-01,67
1,2016-02-01,68
2,2016-03-01,71
3,2016-04-01,70
4,2016-05-01,71
5,2016-06-01,40
6,2016-07-01,60
7,2016-08-01,61
8,2016-09-01,58
9,2016-10-01,67
10,2016-11-01,63
11,2016-12-01,65
12,2017-01-01,66
13,2017-02-01,67
14,2017-03-01,70
15,2017-04-01,74
16,2017-05-01,74
17,2017-06-01,69
18,2017-07-01,64
19,2017-08-01,64
20,2017-09-01,62
21,2017-10-01,67
22,2017-11-01,75
23,2017-12-01,81
24,2018-01-01,66
25,2018-02-01,67
26,2018-03-01,70
27,2018-04-01,74
28,2018-05-01,74
29,2018-06-01,69
30,2018-07-01,64
31,2018-08-01,64
32,2018-09-01,62
33,2018-10-01,67
34,2018-11-01,75
35,2018-12-01,81
36,2019-01-01,76
37,2019-02-01,77
38,2019-03-01,79
39,2019-04-01,78
40,2019-05-01,80
41,2019-06-01,77
42,2019-07-01,78
43,2019-08-01,79
44,2019-09-01,73
45,2019-10-01,72
46,2019-11-01,79
47,2019-12-01,73
48,2020-01-01,78
49,2020-02-01,82
50,2020-03-01,71
51,2020-04-01,52
52,2020-05-01,73
53,2020-06-01,74
54,2020-07-01,74
55,2020-08-01,72
56,2020-09-01,72
57,2020-10-01,72
58,2020-11-01,70
59,2020-12-01,72
60,2021-01-01,71
61,2021-02-01,62
62,2021-03-01,73
63,2021-04-01,74
64,2021-05-01,67
65,2021-06-01,64
66,2021-07-01,65
67,2021-08-01,70
68,2021-09-01,67
69,2021-10-01,71
70,2021-11-01,73
71,2021-12-01,80
72,2022-01-01,71
73,2022-02-01,70
74,2022-03-01,56
75,2022-04-01,65
76,2022-05-01,60
77,2022-06-01,58
78,2022-07-01,48
79,2022-08-01,56
80,2022-09-01,56
81,2022-10-01,65
82,2022-11-01,58
83,2022-12-01,62
