,time,value
0,2016-01-01,73
1,2016-02-01,72
2,2016-03-01,68
3,2016-04-01,74
4,2016-05-01,76
5,2016-06-01,72
6,2016-07-01,57
7,2016-08-01,44
8,2016-09-01,48
9,2016-10-01,62
10,2016-11-01,56
11,2016-12-01,83
12,2017-01-01,117
13,2017-02-01,91
14,2017-03-01,80
15,2017-04-01,82
16,2017-05-01,84
17,2017-06-01,86
18,2017-07-01,73
19,2017-08-01,79
20,2017-09-01,81
21,2017-10-01,86
22,2017-11-01,96
23,2017-12-01,86
24,2018-01-01,117
25,2018-02-01,91
26,2018-03-01,80
27,2018-04-01,82
28,2018-05-01,84
29,2018-06-01,86
30,2018-07-01,73
31,2018-08-01,79
32,2018-09-01,81
33,2018-10-01,86
34,2018-11-01,96
35,2018-12-01,86
36,2019-01-01,88
37,2019-02-01,90
38,2019-03-01,90
39,2019-04-01,94
40,2019-05-01,92
41,2019-06-01,88
42,2019-07-01,89
43,2019-08-01,82
44,2019-09-01,76
45,2019-10-01,91
46,2019-11-01,88
47,2019-12-01,90
48,2020-01-01,92
49,2020-02-01,88
50,2020-03-01,65
51,2020-04-01,38
52,2020-05-01,41
53,2020-06-01,42
54,2020-07-01,57
55,2020-08-01,67
56,2020-09-01,51
57,2020-10-01,59
58,2020-11-01,85
59,2020-12-01,59
60,2021-01-01,78
61,2021-02-01,85
62,2021-03-01,57
63,2021-04-01,58
64,2021-05-01,43
65,2021-06-01,44
66,2021-07-01,86
67,2021-08-01,40
68,2021-09-01,64
69,2021-10-01,49
70,2021-11-01,58
71,2021-12-01,55
72,2022-01-01,58
73,2022-02-01,64
74,2022-03-01,49
75,2022-04-01,66
76,2022-05-01,54
77,2022-06-01,72
78,2022-07-01,40
79,2022-08-01,43
80,2022-09-01,41
81,2022-10-01,64
82,2022-11-01,49
83,2022-12-01,116
